Serial Number,Comment,Author
162,Nice video 👏👏 detail coverage❤,@mandarlimaye6027
163,Maharashtra ke paison se Bihar ka train ban rha hai😢,@ku5285
164,One of the best YouTuber ❤.  Aap sbse achaa update dete ho. So pleasant to watch.,@coolRajnishkr
165,EDFC ka bhi update <br>Kaha tak kam hua abhi,@SarveshSingh-gk6ue
166,Hi rajan bhaiya <br>Kaise ho<br>Aate samay Ganga express ka bhi full update de dejia <br>Full update dejiaga,@SarveshSingh-gk6ue
167,👍👍👍👍👍,@nitinjha3906
168,Welcome to bihar I am from motihari,@nitishkumarnk1008
169,Bjp,@travellerclinto470
170,Agartala,@travellerclinto470
171,PMCH ka bhi update dijiyega sar,@DeepakKumar-re6no
172,मुझे लगता है पटना मेट्रो और बुलेट ट्रेन का शुभारम एक साथ ही होगा😊,@general559
173,"Aapke hisab ae pehele kiss city mein metro aayegi indorw , bhopal , patna ya surat ?",@aradhyajain9783
174,Chhapra double decker Bridge ka de dijiye,@DeepakKumar-re6no
175,Worst city to live in india,@shashanksingh4510
176,Sar Rajgir cricket stadium ka update dijiye na,@DeepakKumar-re6no
177,Explained better than all the local youtubers of bihar,@UK-xv1db
178,Bhai kitni bar bolu haryana orbital rail carridor pe update do,@ritikbainslasingh1292
179,Vedio me ek information  aap galat bataya h khenichak metro station  se red line straight  jayega and blue  line turn lega...mai aap ka regular  viewer  hun aap ka vedio shandar hota h,@hikervlogs9586
180,Full metro alignment ka work process batana tha wose yeh bs 25% work hi cover Kiya hai ish update.,@sidorbuddha
181,brother you left the bailey Road area,@shubhyadav8825
182,Chapra double decker flyover,@sikandarkumarsah4343
183,Love from bihar❤,@sagarsah1654
184,"Wrong 1st TBM USED IN MOINUL HAQUE STADIUM IN PATNA METRO,NOT GANDHI MAIDAN.",@FarhanAhmed-wb6nh
185,Ek baar marine drive ka full video or pmch ka bhi bana digiyega and NIT new campus,@SanjayKumar-e8f7p
186,One of the best video of bihar infrastructure.thanks bhaiya,@SanjayKumar-e8f7p
187,Nice update.,@ishantkumar-kw2tt
188,drones shots bahot achhi hoti aapki.. 🌟,@Aniket.kumar135
189,Bhai poore kolkata metro project cover Karo na...aapse hee ummed hai bas uske coverage kee,@rajataggarwal262
190,cool,@Dev-Phantom
191,अद्भुत नजारा... ❤❤ छपरा में  डबल डेकर फ्लाईओव भी दिखाएं सर...,@plot721
